Day,headline,count,Rank_Day,Top_Day,Headline_Source
2015-09-29,Woman faces jail for stabbing convicted paedophile to death,4,1,True,http://www.dailymail.co.uk/wires/pa/article-3253048/Woman-faces-jail-stabbing-convicted-paedophile-death.html
2015-10-02,australia britain canada US gun legislation,2,1,True,http://www.nytimes.com/2015/10/03/world/americas/australia-britain-canada-us-gun-legislation.html
2015-10-04,Brit mum killed during Oregon shooting massacre 'as she tried to stop gunman',2,1,True,http://www.dailyrecord.co.uk/news/uk-world-news/british-mum-killed-during-oregon-6569477
2015-10-11,Michael Winner's widow beaten with iron bar during raid at her home,9,1,True,http://www.westerntelegraph.co.uk/news/national/13839886.display/
2015-10-14,Camilla to visit sex assault centres to raise awareness of rape effects,4,1,True,http://www.harwichandmanningtreestandard.co.uk/news/national/13845696.Camilla_to_visit_sex_assault_centres_to_raise_awareness_of_rape_effects/
2015-10-15,Police officer shot during raid a detective with Met's Trident gun crime unit,10,1,True,http://www.yeovilexpress.co.uk/news/national/13872436.Police_officer_in_hospital_after_being_shot_in_Hackney_armed_raid/
2015-11-07,Terrifying moment 'gunman' dressed as Marvel character arrested in Canary Wharf,2,1,True,http://www.mirror.co.uk/news/uk-news/moment-armed-police-arrest-red-6788212
2015-11-22,TV star John Leslie in sex attack investigation,2,1,True,http://www.mirror.co.uk/news/uk-news/police-probe-tv-star-john-6877522
2015-11-23,"Hatton Garden raid was largest burglary in English legal history, court told",8,1,True,http://www.maldonandburnhamstandard.co.uk/news/national/14096272.Hatton_Garden_jewellery_raid_suspects_face_trial/
2015-11-29,Police release CCTV after 'Islamophobic' attempted arson at Finsbury Park mosque,2,1,True,http://www.dailyrecord.co.uk/news/uk-world-news/police-release-cctv-after-islamophobic-6924402
2015-12-03,Brother-in-law of suspected California gunman speaks of sadness and shock,2,1,True,http://www.mirror.co.uk/news/world-news/san-bernardino-shooting-brother-law-6944510
2015-12-04,Man charged with arson attack on care home,7,1,True,http://www.maldonandburnhamstandard.co.uk/news/national/14125704.Man_charged_with_arson_attack_on_care_home/
2015-12-05,Man stabbed in head and back in Lewisham street attack,2,1,True,http://www.standard.co.uk/news/crime/lewisham-stabbing-man-in-hospital-after-early-morning-street-attack-a3130611.html
2015-12-06,knife attack in london subway called terrorist incident,2,1,True,http://mobile.nytimes.com/2015/12/06/world/europe/knife-attack-in-london-subway-called-terrorist-incident.html
2015-12-08,Gunman hunted after man dies in Essex hotel car park shooting,3,1,True,http://www.harwichandmanningtreestandard.co.uk/news/national/14131140.Gunman_hunted_after_man_dies_in_Essex_hotel_car_park_shooting/
2015-12-08,Dave Lee Travis loses appeal against indecent assault conviction,2,2,True,http://www.bbc.co.uk/news/uk-35040376
2015-12-10,san francisco police chief urges stun gun use shooting,2,1,True,http://www.dailymail.co.uk/wires/ap/article-3354483/San-Francisco-police-chief-urges-stun-gun-use-shooting.html
2015-12-11,Dutch gang jailed after fake ambulance drug scam,2,1,True,http://www.maldonandburnhamstandard.co.uk/news/north_essex_news/14141043.Dutch_gang_jailed_after_fake_ambulance_drug_scam/
2015-12-11,Rita Ora's house burgled in nighttime raid,1,2,True,http://www.dailyrecord.co.uk/entertainment/celebrity/rita-oras-house-burgled-nighttime-6997811
2015-12-12,Rita Ora's house burgled in nighttime raid,1,1,True,http://www.dailyrecord.co.uk/entertainment/celebrity/rita-oras-house-burgled-nighttime-6997811
2015-12-26,Boxing Day shoppers flee after 'knife fight' in shopping centre,2,1,True,http://www.dailyrecord.co.uk/news/uk-world-news/bromley-machete-panic-boxing-day-7074075
2015-12-30,Oliver Letwin apologises for 'racist' Broadwater Farm riot comments,3,1,True,http://www.greenocktelegraph.co.uk/news/14172461.display/
2016-01-04,Is new Jihadi John gun-toting Brit who skipped bail to join Syria?,2,1,True,http://www.mirror.co.uk/news/world-news/sister-british-extremist-fighter-says-7115296
2016-01-08,Pair await sentences over 1.6m 'romance scam',7,1,True,http://www.yeovilexpress.co.uk/news/national/14190934.Pair_await_sentences_over___1_6m__romance_scam_/
2016-01-13,Number of Met Police firearms officers to increase after terror attacks,8,1,True,http://www.maldonandburnhamstandard.co.uk/news/national/14201248.Number_of_Met_Police_firearms_officers_to_increase_after_terror_attacks/
2016-01-22,Firearms gang's glamorous assistant snared after taking naked selfie with AK-47,2,1,True,http://www.mirror.co.uk/news/uk-news/firearms-gangs-glamorous-assistant-facing-7225236
2016-02-04,Company boss shot dead in warehouse raid,2,1,True,http://www.westerntelegraph.co.uk/news/national/14253263.display/
2016-02-05,Police hunt masked gunmen after drinks company boss shot dead in robbery bid,3,1,True,http://www.lancashiretelegraph.co.uk/news/national/14256006.display/
2016-02-06,Gun salute marks 64th anniversary of Queen's accession to the throne,11,1,True,http://www.enfieldindependent.co.uk/news/national/14258404.Gun_salutes_to_mark_Queen_s_accession_to_the_throne/
2016-02-10,Daughter pays tribute to company boss shot dead in Birmingham warehouse raid,8,1,True,http://www.maldonandburnhamstandard.co.uk/news/national/14266847.Daughter_pays_tribute_to_company_boss_shot_dead_in_Birmingham_warehouse_raid/
2016-02-18,Man choked unconscious during Rolex robbery speaks out about horror attack,2,1,True,http://www.mirror.co.uk/news/uk-news/father-seven-choked-unconscious-during-7395994
2016-02-25,Domestic violence victim knifed 6 times by abusive Facebook boyfriend speaks out,2,1,True,http://www.mirror.co.uk/news/uk-news/domestic-violence-victim-speaks-out-7436982
2016-03-05,Baby of pregnant woman stabbed in daytime attack is born 'alive and healthy',2,1,True,http://www.mirror.co.uk/news/uk-news/baby-heavily-pregnant-woman-stabbed-7498179
2016-03-12,Man arrested over 'mistaken identity' gun murder,2,1,True,http://www.dailymail.co.uk/wires/pa/article-3489013/Man-arrested-mistaken-identity-gun-murder.html
2016-03-15,Woman 'stabbed and raped' in grounds of Alexandra Palace,2,1,True,http://www.standard.co.uk/news/crime/woman-stabbed-and-raped-in-grounds-of-alexandra-palace-a3203911.html
2016-03-23,Occupational therapist struck off after killing pensioner by dangerous driving,2,1,True,http://www.macclesfield-express.co.uk/news/local-news/occupational-therapist-struck-after-killing-11088642
2016-03-31,Police officer dead and at least six injured as gunman opens fire at bus station,2,1,True,http://www.mirror.co.uk/news/world-news/richmond-greyhound-shooting-least-six-7666368
2016-04-04,CCTV footage shows shoplifter stuffing luxury goods in trousers,2,1,True,http://www.mirror.co.uk/news/uk-news/shoplifter-jailed-after-bagging-100000-7685987
2016-04-28,Plunging number of police firearms officers prompts terror response questions,10,1,True,http://www.thetottenhamindependent.co.uk/news/national/14458951.display/
2016-05-20,Man arrested after stabbing frenzy had been charged with knife possession,12,1,True,http://www.thetottenhamindependent.co.uk/news/national/14506880.display/
2016-05-21,Lag filmed with knife as he weighs drugs INSIDE prison as security hits new low,2,1,True,http://www.mirror.co.uk/news/uk-news/lag-filmed-waving-fearsome-knife-8022489
2016-05-25,Rising gun crime 'giving terrorists greater access to weapons',7,1,True,http://www.dailymail.co.uk/wires/pa/article-3609335/Rising-gun-crime-giving-terrorists-greater-access-weapons.html
2016-05-27,University Challenge contestant charged with rape and sexual assault,2,1,True,http://www.dailymail.co.uk/news/article-3612468/University-Challenge-contestant-21-led-internet-sensation-charged-rape-sexual-assault.html
2016-05-28,Two men convicted of murdering woman shot in face with sawn-off gun,7,1,True,http://www.wiltsglosstandard.co.uk/news/national/14522808.Two_men_convicted_of_murdering_woman_shot_in_face_with_sawn_off_gun/
2016-06-12,Gunman who killed 50 in worst US mass shooting was known to the authorities,5,1,True,http://www.wiltsglosstandard.co.uk/news/national/14552222.Barack_Obama_condemns__act_of_terrorism__after_50_die_in_worst_US_mass_shooting/
2016-06-15,Teenagers arrested and bailed over High Street gun drama,4,1,True,http://www.maldonandburnhamstandard.co.uk/news/north_essex_news/14557779.Teenagers_arrested_and_bailed_over_High_Street_gun_drama/
2016-06-16,Labour MP Jo Cox dies after being 'shot and stabbed' - latest updates,3,1,True,http://www.manchestereveningnews.co.uk/news/uk-news/live-jo-cox-shot-birstall-11482692
2016-06-17,Victim of Tube knife attack says UK gun laws prevented massacre,9,1,True,http://www.wiltsglosstandard.co.uk/news/national/14564354.Victim_of_Tube_knife_attack_says_UK_gun_laws_prevented_massacre/
2016-06-29,"Rita Ora burglary: Man jailed over 200,000 raid",12,1,True,http://www.enfieldindependent.co.uk/news/national/14587369.Rita_Ora_burglary__Man_found_guilty_of_raid_on_pop_star_s_home/
2016-07-04,Max Clifford 'determined to clear his name' over new indecent assault allegation,2,1,True,http://www.maldonandburnhamstandard.co.uk/news/national/14596988.Max_Clifford__determined_to_clear_his_name__over_new_indecent_assault_allegation/
2016-07-08,'Supergirl' car theft escape youngster praised by police,7,1,True,http://www.dailymail.co.uk/wires/pa/article-3680920/Supergirl-car-theft-escape-youngster-praised-police.html
2016-07-15,Gunfire as Nice 'terror attack driver' fires out of truck window,2,1,True,http://www.mirror.co.uk/news/world-news/nice-terror-attack-chilling-sound-8425353
2016-07-18,"Widow, 86, robbed of 21,000 life savings by card theft gang",8,1,True,http://www.yeovilexpress.co.uk/news/national/14625622.Widow__86__robbed_of___21_000_life_savings_by_card_theft_gang/
2016-07-18,widow 86 robbed of 21000 life savings by card theft gang,2,2,True,https://www.eveningexpress.co.uk/pipe/news/uk/widow-86-robbed-of-21000-life-savings-by-card-theft-gang/
2016-07-27,Pool party gun victim named by police,5,1,True,http://www.dailymail.co.uk/wires/pa/article-3711531/Pool-party-gun-victim-named-police.html
2016-07-27,Live updates as ISIS fanatic faces life sentence for tube station knife rampage,2,2,True,http://www.mirror.co.uk/news/uk-news/leytonstone-tube-stabbing-sentencing-live-8501527
2016-07-28,Police firearms officer numbers dip for fourth year,6,1,True,http://www.harwichandmanningtreestandard.co.uk/news/national/14649049.Police_firearms_officer_numbers_dip_for_fourth_year/
2016-07-28,Worker stops gunmen in post office robbery bid,2,2,True,http://www.harwichandmanningtreestandard.co.uk/news/14647688.Worker_stops_gunmen_in_post_office_robbery_bid/
2016-07-29,Worker stops gunmen in post office robbery bid,1,1,True,http://www.harwichandmanningtreestandard.co.uk/news/14647688.Worker_stops_gunmen_in_post_office_robbery_bid/
2016-08-01,UPDATED: Two men stabbed in 'ghastly' attack after returning from night out in Colchester,3,1,True,http://www.harwichandmanningtreestandard.co.uk/news/north_essex_news/14652671.UPDATED__Two_men_stabbed_in__ghastly__attack_after_returning_from_night_out_in_Colchester/
2016-08-02,"Mobile device fans highly susceptible to identity theft bids, research suggests",2,1,True,http://www.westerntelegraph.co.uk/news/national/14657875.Mobile_device_fans_highly_susceptible_to_identity_theft_bids__research_suggests/
2016-08-02,mobile device fans highly susceptible to identity theft bids research suggests,1,2,True,http://www.belfasttelegraph.co.uk/news/uk/mobile-device-fans-highly-susceptible-to-identity-theft-bids-research-suggests-34934200.html
2016-08-03,"Mobile device fans highly susceptible to identity theft bids, research suggests",5,1,True,http://www.westerntelegraph.co.uk/news/national/14657875.Mobile_device_fans_highly_susceptible_to_identity_theft_bids__research_suggests/
2016-08-03,Police forces face two-year wait for extra firearms officers,3,2,True,http://www.birminghammail.co.uk/news/uk-news/police-forces-face-two-year-11697198
2016-08-03,mobile device fans highly susceptible to identity theft bids research suggests,1,3,True,http://www.belfasttelegraph.co.uk/news/uk/mobile-device-fans-highly-susceptible-to-identity-theft-bids-research-suggests-34934200.html
2016-08-04,Woman dead and five injured following knife incident in central London,5,1,True,http://www.mirror.co.uk/news/uk-news/russell-square-terror-attack-woman-8557859
2016-08-04,Police probe terror motive in knife attack that killed woman in London,2,2,True,http://www.manchestereveningnews.co.uk/news/uk-news/police-probe-terror-motive-knife-11702312
2016-08-04,Russell Square knife attack: What we know so far,2,3,True,http://www.mirror.co.uk/news/uk-news/russell-square-knife-attack-what-8558191
2016-08-15,Zombie knife sellers face jail as 'horrific' weapons banned,9,1,True,http://www.enfieldindependent.co.uk/news/national/14682188.Zombie_knife_sellers_face_jail_as__horrific__weapons_banned/
2016-08-16,Armed police swoop on car after 'gun' reports,4,1,True,http://www.enfieldindependent.co.uk/news/national/14686137.Armed_police_swoop_on_car_after__gun__reports/
2016-08-18,Watch George Osborne go Rambo as he blasts with machine gun in Vietnam jungle,2,1,True,http://www.dailyrecord.co.uk/news/uk-world-news/watch-george-osborne-go-rambo-8660787
2016-08-18,Youth accused of abducting children in stolen car refuses to face c...,2,2,True,http://www.dailymail.co.uk/wires/pa/article-3747033/Youth-accused-abducting-children-stolen-car-refuses-face-court.html
2016-08-18,Youth accused of abducting children in stolen car refuses to face court,2,3,True,http://www.wiltsglosstandard.co.uk/news/national/14690939.Youth_accused_of_abducting_children_in_stolen_car_refuses_to_face_court/
2016-08-19,"Man had 'gun in hand and was pointing it at colleague', policeman tells inquest",2,1,True,http://www.enfieldindependent.co.uk/news/14693563.Man_had__gun_in_hand_and_was_pointing_it_at_colleague___policeman_tells_inquest/
2016-08-19,Teenager accused of abducting children in stolen car refuses to face court,1,2,True,http://www.enfieldindependent.co.uk/news/14690966.Teenager_accused_of_abducting_children_in_stolen_car_refuses_to_face_court/
2016-08-26,Duo slashed in the back and legs with knife: One man remains in hospital and police appeal for information,2,1,True,http://www.maldonandburnhamstandard.co.uk/news/south_essex_news/14707278.Man_in_hospital_after_two_men_left_with_knife_injuries_after_assault/
2016-08-30,"Boy, 15, suffers horrific stomach injuries after Carnival knife attack",2,1,True,http://www.standard.co.uk/news/crime/boy-15-slashed-in-stomach-with-zombie-killer-knife-at-notting-hill-carnival-a3331921.html
2016-08-31,Boy and aunt killed when hit by suspected stolen car have been identified,2,1,True,http://www.mirror.co.uk/news/uk-news/penge-car-crash-police-ambulances-8744537
2016-09-02,northants police yet to prosecute anyone using new coercive control law six months after it was introduced 1,2,1,True,http://www.daventryexpress.co.uk/news/local/northants-police-yet-to-prosecute-anyone-using-new-coercive-control-law-six-months-after-it-was-introduced-1-7556954
2016-09-08,Man who killed new father had knife charges dropped days earlier,2,1,True,http://www.thetimes.co.uk/edition/news/man-who-killed-new-father-had-knife-charges-dropped-days-before-n83gq3whw
2016-09-14,Two arrested after man stabbed to death while trying to stop moped theft,18,1,True,http://www.yeovilexpress.co.uk/news/national/14741566.Two_arrested_after_man_dies_trying_to_stop_moped_theft/
2016-09-14,Chadwell Heath knife victim was bodyguard to the stars,4,2,True,http://www.mirror.co.uk/news/uk-news/chadwell-heath-murder-probe-son-8830489
2016-09-19,"Live: Manchester breaking news -  Cash delivery driver robbed by armed men, Princess Parkway crash, tram hero granddad, domestic abuse arrests",3,1,True,http://www.manchestereveningnews.co.uk/news/greater-manchester-news/live-manchester-breaking-news-person-11904273
2016-09-20,Firearms officers quizzed over fatal shooting at inquest,8,1,True,http://www.enfieldindependent.co.uk/news/national/14754345.Firearms_officers_quizzed_over_fatal_shooting_at_inquest/
2016-09-26,Stun gun disguised as mobile is seized,2,1,True,http://www.southendstandard.co.uk/news/14763752.Stun_gun_disguised_as_mobile_is_seized/
2016-10-03,"Man, 29, is charged with gun offences",2,1,True,http://www.basildonstandard.co.uk/news/14776109.display/
2016-10-04,"Birmingham Live: Driver charged over death, Erdington gun drama",3,1,True,http://www.birminghammail.co.uk/news/midlands-news/birmingham-mail-news-live-breaking-11954346
2016-10-05,Chef 'obsessed with drug rape pornography' is 'a serial killer',2,1,True,http://www.independent.co.uk/news/uk/crime/grindr-killer-court-trial-stephen-port-chef-obsessed-with-drug-rape-pornography-hearing-a7346586.html
2016-10-08,Police appeal for witnesses after late night mobile phone theft,3,1,True,http://www.maldonandburnhamstandard.co.uk/news/north_essex_news/14790859.Police_appeal_for_witnesses_after_late_night_mobile_phone_theft/
2016-10-11,Cocaine dealing primary school teacher kept machine gun in her knicker drawer,2,1,True,http://www.mirror.co.uk/news/uk-news/cocaine-dealing-primary-school-teacher-9023358
2016-10-12,Armed police storm pub after 'swatting' claim woman was being held hostage by gunman,2,1,True,http://www.standard.co.uk/news/crime/armed-police-storm-pub-after-hoax-swatting-claim-woman-was-being-held-hostage-by-gunman-a3366711.html
2016-10-17,"Sex abuse gang 'plied teen girls with drugs and alcohol before farming them out to be raped and abused', court hears",4,1,True,http://www.basildonstandard.co.uk/news/14806976.display/
2016-10-17,Killers jailed for total of 48 years for teen's knife death,2,2,True,http://www.maldonandburnhamstandard.co.uk/news/south_essex_news/14806128.Killers_jailed_for_total_of_48_years_for_teen_s_knife_death/
2016-10-20,Bank windows covered in graffiti before man dressed as The Joker is arrested while brandishing a knife,2,1,True,http://www.maldonandburnhamstandard.co.uk/news/south_essex_news/14814680.Bank_windows_covered_in_graffiti_before_man_brandishing_a_knife_enters_branch_and_is_arrested/
2016-10-26,'Instinct just kicked in' Heroic bar staff praised for saving life of stabbing victim by stemming blood flow after frenzied attack,2,1,True,http://www.maldonandburnhamstandard.co.uk/news/south_essex_news/14822719._Instinct_just_kicked_in__Heroic_bar_staff_praised_for_saving_life_of_stabbing_victim_by_stemming_blood_flow_after_frenzied_attack/
2016-10-31,Police issue terror plot warning amid rise in recovered firearms,16,1,True,http://www.wiltsglosstandard.co.uk/news/national/14834059.Counter_terror_boss_warns_over_gun_supply__links__between_gangs_and_extremists/
2016-11-04,CCTV footage shows moment loner attacked victims in Sainsbury's stabbing spree,2,1,True,http://www.mirror.co.uk/news/uk-news/cctv-footage-reveals-terrifying-moment-9196164
2016-11-04,Coroner asks for less-lethal police weapons after mentally ill man shot,2,2,True,http://www.enfieldindependent.co.uk/news/14844473.Coroner_asks_for_less_lethal_police_weapons_after_mentally_ill_man_shot/
2016-11-11,Southend's knife crime problem is as bad as London: Fears raised after yet another stabbing in town,1,1,True,http://www.basildonstandard.co.uk/news/14883459.display/
2016-11-13,Southend's knife crime problem is as bad as London: Fears raised after yet another stabbing in town,1,1,True,http://www.basildonstandard.co.uk/news/14883459.display/
2016-11-23,Police forces must fight gangs together: MP's plea for help as Southend knife problems mount,2,1,True,http://www.basildonstandard.co.uk/news/14922720.display/
2016-12-01,UPDATE: Drug dealer who said he was 'gutted' friend used acid during attack found guilty after just 18 minutes,3,1,True,http://www.maldonandburnhamstandard.co.uk/news/south_essex_news/14938117.Acid_burnt_through_man_s_clothes_and_skin_in_convenience_store__punishment_warning_/
2016-12-07,Luciana Berger in plea to other victims as racist troll convicted of harassment,7,1,True,http://www.lancashiretelegraph.co.uk/news/national/14952014.Luciana_Berger_in_plea_to_other_victims_as_racist_troll_convicted_of_harassment/
2016-12-07,julian assange says texts show he is entirely innocent of sexual assault,1,2,True,http://www.theguardian.com.au/story/4343020/julian-assange-says-texts-show-he-is-entirely-innocent-of-sexual-assault/
2016-12-08,Luciana Berger in plea to other victims as racist troll convicted of harassment,2,1,True,http://www.lancashiretelegraph.co.uk/news/national/14952014.Luciana_Berger_in_plea_to_other_victims_as_racist_troll_convicted_of_harassment/
2016-12-14,"Homeless man, 24, accused of murdering father in town centre says: I reached for knife in fear and shock",2,1,True,http://www.basildonstandard.co.uk/news/14963869.display/
2016-12-14,Central Line closed and police search Liverpool Street station after reports of man armed with knife,1,2,True,http://www.harwichandmanningtreestandard.co.uk/news/14966779.Central_Line_closed_and_police_search_Liverpool_Street_station_after_reports_of_man_armed_with_knife/
2016-12-15,Central Line closed and police search Liverpool Street station after reports of man armed with knife,1,1,True,http://www.harwichandmanningtreestandard.co.uk/news/14966779.Central_Line_closed_and_police_search_Liverpool_Street_station_after_reports_of_man_armed_with_knife/
2016-12-16,"Iranian 'sex gang' members guilty of child sexual exploitation and supplying teenage girls with drugs, three men cleared of sex offences",2,1,True,http://www.maldonandburnhamstandard.co.uk/news/north_essex_news/14971418.Iranian__sex_gang__members_guilty_of_child_sexual_exploitation_and_supplying_teenage_girls_with_drugs__three_men_cleared_of_sex_offences/
2016-12-20,You will become a drug addict: How callous pimp controlled his teenage sex abuse victim,2,1,True,http://www.maldonandburnhamstandard.co.uk/news/south_essex_news/14976053.___You_will_become_a_drug_addict_____How_callous_pimp_controlled_his_teenage_sex_abuse_victim/
2016-12-23,Jihadi's uncle facing jail after smuggling money for nephew to buy gun,10,1,True,http://www.greenocktelegraph.co.uk/news/14985834.Jihadi_s_uncle_facing_jail_after_smuggling_money_for_nephew_to_buy_gun/
2016-12-25,julian assange says texts show he is entirely innocent of sexual assault,1,1,True,http://www.theguardian.com.au/story/4343020/julian-assange-says-texts-show-he-is-entirely-innocent-of-sexual-assault/
2016-12-28,"One year on, widow blames 'austerity' for husband's knife killing",8,1,True,http://www.yeovilexpress.co.uk/news/national/14989893.One_year_on__widow_blames__austerity__for_husband_s_knife_killing/
2017-01-06,Brazen thugs stab teen six times and attack him with belt in appalling CCTV,2,1,True,http://www.mirror.co.uk/news/uk-news/brazen-thugs-stab-teen-six-9571823
2017-01-13,Jihadi's uncle jailed for using aid convoy to smuggle cash for nephew's gun,5,1,True,http://www.thetottenhamindependent.co.uk/news/national/15022334.Jihadi_s_uncle_jailed_for_using_aid_convoy_to_smuggle_cash_for_nephew_s_gun/
2017-01-15,Stolen car found dumped - 15-year-old arrested on suspicion of theft,2,1,True,http://www.basildonstandard.co.uk/news/15024637.display/
2017-01-16,Tunisia gunman's murderous route through hotel complex shown in horror animation,1,1,True,http://www.mirror.co.uk/news/world-news/tunisia-gunmans-murderous-route-through-9634138
2017-01-17,Tunisia gunman's murderous route through hotel complex shown in horror animation,1,1,True,http://www.mirror.co.uk/news/world-news/tunisia-gunmans-murderous-route-through-9634138
2017-01-19,Angel sculpture takes shape as 40 police forces donate knife amnesty hauls,3,1,True,http://www.greenocktelegraph.co.uk/news/15034721.Angel_sculpture_takes_shape_as_40_police_forces_donate_knife_amnesty_hauls/
2017-01-21,'Devil worshipper' jailed for sex attack,5,1,True,http://www.westerntelegraph.co.uk/news/national/15039360._Devil_worshipper__jailed_for_sex_attack/
2017-01-24,Off-duty police officer given medal for bravery after taking on gunman,2,1,True,http://www.mirror.co.uk/news/uk-news/duty-police-officer-given-medal-9683671
2017-01-25,"Man Tasered in neck during vicious street robbery after being punched, kicked and hit with bottle",3,1,True,http://www.maldonandburnhamstandard.co.uk/news/south_essex_news/15044234.Man_was_Tasered_in_neck_during_vicious_street_robbery_after_being_punched__kicked_and_hit_with_bottle/
