quarter,date,Good_job_residual,Trust_MPS_residual,Fair_treatment_residual
Q1_1516,2015-04-01 00:00:00,-0.008078162852609181,,-0.014405479029600907
Q1_1617,2016-04-01 00:00:00,0.018991651180361672,0.0053282118730297034,0.004344263692698965
Q1_1718,2017-04-01 00:00:00,0.14404169467415068,0.10127600578117114,0.09435965449235584
Q1_1819,2018-04-01 00:00:00,0.11122855736515233,0.07588310886411749,0.07525095303219559
Q1_1920,2019-04-01 00:00:00,0.06131404047355065,0.06104811740475219,0.07691017337323135
Q1_2021,2020-04-01 00:00:00,0.017911723487137574,0.03969689774099039,0.05594511787210431
Q1_2122,2021-04-01 00:00:00,-0.008301183045173487,0.007815487514634335,-0.010173487923636326
Q1_2223,2022-04-01 00:00:00,-0.056269718549104425,-0.05622744303818428,-0.07575996795055963
Q1_2324,2023-04-01 00:00:00,-0.04922340867479378,-0.07177843194599844,-0.057409972264701195
Q1_2425,2024-04-01 00:00:00,-0.05979736868511722,-0.05926491985846019,-0.06832563736353725
Q1_2526,2025-04-01 00:00:00,-0.08341582090243738,-0.028555507942087617,-0.040413555445153765
Q2_1516,2015-07-01 00:00:00,-0.0018427873815309442,,-0.011975421265279514
Q2_1617,2016-07-01 00:00:00,0.024148575140145127,0.013004334891766924,0.02008637528409105
Q2_1718,2017-07-01 00:00:00,0.1417117630013848,0.09401658320634737,0.08974114955058674
Q2_1819,2018-07-01 00:00:00,0.09867647328684212,0.07127479622701528,0.07047018064495278
Q2_1920,2019-07-01 00:00:00,0.06273250178294551,0.07038711692764468,0.08769841092452355
Q2_2021,2020-07-01 00:00:00,0.0364190760344385,0.04464451734844835,0.050058054236119726
Q2_2122,2021-07-01 00:00:00,-0.02077574238854138,-0.0037229193702975547,-0.030233591529042016
Q2_2223,2022-07-01 00:00:00,-0.046342040278832264,-0.06380165211422677,-0.06945390997365608
Q2_2324,2023-07-01 00:00:00,-0.05286941754940525,-0.07241807038286094,-0.056960916949877004
Q2_2425,2024-07-01 00:00:00,-0.06651426441785485,-0.04873036116961467,-0.06362070097076626
Q2_2526,2025-07-01 00:00:00,-0.07284473857615498,-0.026976707321933985,-0.030009545006358666
Q3_1516,2015-10-01 00:00:00,-0.0010969338184856937,,-0.0073210180705966035
Q3_1617,2016-10-01 00:00:00,0.0185782557475324,0.016006767305504283,0.029195824628218982
Q3_1718,2017-10-01 00:00:00,0.1353637005745714,0.08726417475779567,0.0764149051288439
Q3_1819,2018-10-01 00:00:00,0.09010074023336949,0.06991254005066755,0.0735145045092975
Q3_1920,2019-10-01 00:00:00,0.05831272681561885,0.06924235332310105,0.09057891452320405
Q3_2021,2020-10-01 00:00:00,0.008259464812410796,0.020559797417587608,0.01954349766592851
Q3_2122,2021-10-01 00:00:00,-0.03051955919105052,-0.012784946506639316,-0.04223111465762258
Q3_2223,2022-10-01 00:00:00,-0.0581091115351889,-0.07285305087092471,-0.07127610158507165
Q3_2324,2023-10-01 00:00:00,-0.055127128709444376,-0.0785233520734115,-0.06686107724973349
Q3_2425,2024-10-01 00:00:00,-0.07191814428505804,-0.04075898734244559,-0.05350166105000148
Q3_2526,2025-10-01 00:00:00,-0.08844501475698728,-0.05437523519028769,-0.04344613676236153
Q4_1415,2015-01-01 00:00:00,-0.006384348912875773,,-0.007827776007226863
Q4_1516,2016-01-01 00:00:00,0.004482688568454789,-0.003703036115056721,-0.0072599276056203
Q4_1617,2017-01-01 00:00:00,0.018493050088023724,0.01706484560913218,0.03696624036857202
Q4_1718,2018-01-01 00:00:00,0.11678064695869025,0.07305917239554552,0.06613779264268677
Q4_1819,2019-01-01 00:00:00,0.07035718101128784,0.06116665559314429,0.07155860195565832
Q4_1920,2020-01-01 00:00:00,0.03799199798505871,0.05599832097484522,0.07599560513341994
Q4_2021,2021-01-01 00:00:00,-0.01599633966117507,0.004180787400564833,0.0014185478062333536
Q4_2122,2022-01-01 00:00:00,-0.06126966580065585,-0.048872064486967556,-0.07373654086276786
Q4_2223,2023-01-01 00:00:00,-0.04933391669229884,-0.06663162962074645,-0.05386777258022361
Q4_2324,2024-01-01 00:00:00,-0.06272084269894343,-0.07550187912269364,-0.07617193584782242
Q4_2425,2025-01-01 00:00:00,-0.09080571720528186,-0.039087400908610466,-0.05284160252651413
Q4_2526,2026-01-01 00:00:00,-0.15789513265212887,-0.1121346987268203,-0.08110391698719648
