quarter,date,Good_job_residual,Trust_MPS_residual,Fair_treatment_residual
Q1_1516,2015-04-01 00:00:00,-0.008078162852609184,,-0.014405479029600873
Q1_1617,2016-04-01 00:00:00,0.01899165118036165,0.005328211873029679,0.004344263692698972
Q1_1718,2017-04-01 00:00:00,0.14404169467415068,0.1012760057811711,0.09435965449235587
Q1_1819,2018-04-01 00:00:00,0.1112285573651523,0.07588310886411745,0.0752509530321956
Q1_1920,2019-04-01 00:00:00,0.06131404047355066,0.06104811740475217,0.07691017337323139
Q1_2021,2020-04-01 00:00:00,0.01791172348713757,0.03969689774099035,0.05594511787210434
Q1_2122,2021-04-01 00:00:00,-0.008301183045173494,0.007815487514634286,-0.010173487923636287
Q1_2223,2022-04-01 00:00:00,-0.056269718549104425,-0.05622744303818432,-0.07575996795055956
Q1_2324,2023-04-01 00:00:00,-0.049223408674793794,-0.07177843194599849,-0.05740997226470117
Q1_2425,2024-04-01 00:00:00,-0.059797368685117244,-0.05926491985846022,-0.06832563736353722
Q1_2526,2025-04-01 00:00:00,-0.08341582090243738,-0.028555507942087645,-0.04041355544515371
Q2_1516,2015-07-01 00:00:00,-0.0018427873815309581,,-0.011975421265279479
Q2_1617,2016-07-01 00:00:00,0.024148575140145102,0.013004334891766878,0.020086375284091074
Q2_1718,2017-07-01 00:00:00,0.1417117630013848,0.09401658320634733,0.08974114955058678
Q2_1819,2018-07-01 00:00:00,0.09867647328684212,0.07127479622701524,0.07047018064495282
Q2_1920,2019-07-01 00:00:00,0.06273250178294551,0.07038711692764464,0.08769841092452357
Q2_2021,2020-07-01 00:00:00,0.036419076034438495,0.04464451734844831,0.05005805423611977
Q2_2122,2021-07-01 00:00:00,-0.020775742388541386,-0.003722919370297579,-0.030233591529041978
Q2_2223,2022-07-01 00:00:00,-0.04634204027883229,-0.06380165211422681,-0.06945390997365603
Q2_2324,2023-07-01 00:00:00,-0.05286941754940527,-0.072418070382861,-0.056960916949876955
Q2_2425,2024-07-01 00:00:00,-0.06651426441785488,-0.04873036116961471,-0.0636207009707662
Q2_2526,2025-07-01 00:00:00,-0.07284473857615498,-0.026976707321934038,-0.030009545006358627
Q3_1516,2015-10-01 00:00:00,-0.0010969338184857215,,-0.007321018070596583
Q3_1617,2016-10-01 00:00:00,0.01857825574753238,0.016006767305504252,0.029195824628219
Q3_1718,2017-10-01 00:00:00,0.13536370057457137,0.08726417475779563,0.07641490512884393
Q3_1819,2018-10-01 00:00:00,0.09010074023336948,0.06991254005066752,0.07351450450929754
Q3_1920,2019-10-01 00:00:00,0.05831272681561883,0.06924235332310102,0.09057891452320407
Q3_2021,2020-10-01 00:00:00,0.008259464812410773,0.020559797417587553,0.01954349766592855
Q3_2122,2021-10-01 00:00:00,-0.030519559191050538,-0.012784946506639357,-0.04223111465762256
Q3_2223,2022-10-01 00:00:00,-0.05810911153518891,-0.07285305087092477,-0.07127610158507162
Q3_2324,2023-10-01 00:00:00,-0.055127128709444397,-0.07852335207341155,-0.06686107724973346
Q3_2425,2024-10-01 00:00:00,-0.07191814428505806,-0.04075898734244562,-0.053501661050001446
Q3_2526,2025-10-01 00:00:00,-0.0884450147569873,-0.054375235190287745,-0.043446136762361504
Q4_1415,2015-01-01 00:00:00,-0.006384348912875801,,-0.007827776007226842
Q4_1516,2016-01-01 00:00:00,0.004482688568454761,-0.003703036115056752,-0.007259927605620279
Q4_1617,2017-01-01 00:00:00,0.018493050088023707,0.01706484560913215,0.03696624036857206
Q4_1718,2018-01-01 00:00:00,0.11678064695869025,0.07305917239554549,0.0661377926426868
Q4_1819,2019-01-01 00:00:00,0.07035718101128781,0.061166655593144256,0.07155860195565836
Q4_1920,2020-01-01 00:00:00,0.037991997985058694,0.05599832097484518,0.07599560513341998
Q4_2021,2021-01-01 00:00:00,-0.015996339661175096,0.004180787400564774,0.001418547806233364
Q4_2122,2022-01-01 00:00:00,-0.06126966580065586,-0.0488720644869676,-0.07373654086276782
Q4_2223,2023-01-01 00:00:00,-0.04933391669229887,-0.06663162962074651,-0.05386777258022356
Q4_2324,2024-01-01 00:00:00,-0.06272084269894346,-0.0755018791226937,-0.07617193584782238
Q4_2425,2025-01-01 00:00:00,-0.09080571720528186,-0.039087400908610494,-0.052841602526514105
Q4_2526,2026-01-01 00:00:00,-0.15789513265212887,-0.11213469872682034,-0.08110391698719646
